arm_key,label,train_seed,eval_seed,workload_hash,n_tasks,mean_delay_ms,p50_delay_ms,p95_delay_ms,p99_delay_ms,success_rate,deadline_miss_rate,broker_ms_mean,up_ms_mean,queue_ms_mean,exec_ms_mean,prop_j,comp_j,net_j,control_j,signal_j,edge_j,sys_j_per_delivered,sys_j_per_attempted,head_changes,jain_delay,jain_success
A1,optimal-head/event/rl,42,42,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25080,146.58333499190044,150.0,501.1533268822409,550.0,0.4950956937799043,0.5049043062200957,0.37843023979124896,1.9920139455155614,94.58530617944578,51.94450373792764,2125523.274209826,12759.513061709094,100.92554144465727,157.55875277065607,0.02481214781095701,410.2377949505609,172.25992866013118,85.28514889046447,2,0.9893932218179391,0.9921567321995175
A1,optimal-head/event/rl,42,43,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,24912,129.01781417573105,107.28267380048884,370.3503764577603,550.0,0.6703596660244059,0.3296403339755941,0.48247377603139124,2.9341388543236033,61.55098016544353,66.59801730614436,2255896.3405697206,16265.521643974065,147.74949857930469,151.9434513567544,0.0,578.6779403374943,136.11019359903997,91.24278392356968,0,0.9918615446369998,0.9958667000748169
A1,optimal-head/event/rl,42,44,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25134,151.67205691437653,150.0,550.0,550.0,0.4554388477759211,0.544561152224079,0.3481987393180075,2.304785121481031,103.25139408419679,48.1307418079881,2056781.405910274,11775.850430793578,117.16209622475972,156.3076787267369,0.0,449.6911800483923,180.77054401118787,82.32992827628182,0,0.9846595787964187,0.9918512257882984
A1,optimal-head/event/rl,42,45,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,24998,139.03289644236372,135.7961667677436,421.19980644751274,550.0,0.5787262981038483,0.42127370189615165,0.4411702820432263,2.238724527185397,78.68235607223059,60.217168570641476,2161278.832166601,14743.624984787262,112.6950686713893,158.37478088669414,0.0,459.27767291107756,150.46331683651465,87.07707835322256,0,0.990274287971605,0.9938043269037562
A1,optimal-head/event/rl,42,46,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25550,132.8962821984309,114.64882175249258,380.38657728165884,550.0,0.6391389432485323,0.36086105675146773,0.4589842888995833,2.6541473135809315,66.65258110229789,65.76611916913158,2216629.184381985,16474.577503685447,137.2519736090687,153.9709159797236,0.0,554.0405551590391,136.8003077360942,87.43440412252126,0,0.9911665892200657,0.9961700446427578
A1,optimal-head/event/rl,42,47,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25063,143.20750625657755,150.0,457.2526994958592,550.0,0.5222838447113275,0.4777161552886725,0.3907767075827352,2.2287254972361783,89.04512005182175,54.11908172639204,2186885.0205787425,13277.766892703403,112.83994476978513,152.18971429543086,0.058082351872182386,450.8652919187366,168.13435756339047,87.81385869627664,4,0.9903628762228229,0.9927513180965929
A1,optimal-head/event/rl,42,48,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25277,141.49711948218044,146.44239190528907,432.5495646776608,550.0,0.5658503778138229,0.43414962218617714,0.42979210518986033,2.4949571808268987,80.35633389946061,61.13625457505508,2220557.9624590045,15105.410273225078,127.95231313052254,156.32947392295924,0.04058913078712121,503.7031636861873,156.3623993758023,88.4777227626736,3,0.9903894061125591,0.9933678076885492
A1,optimal-head/event/rl,42,49,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,24995,139.61575302295128,138.77886023855623,424.597138822014,550.0,0.5765153030606122,0.42348469693938784,0.42963298553097223,2.4091949844912053,79.67447498513573,59.63716659081564,2153129.030900432,14595.256284858713,121.68374572776115,155.3479259021439,0.0,492.69450921264007,150.48535831826047,86.75711195703674,0,0.9911337482271624,0.9930563836207832
A1,optimal-head/event/rl,42,50,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,24846,144.3253489865258,150.0,468.63051198544525,550.0,0.5550591644530307,0.4449408355469693,0.4506827685325545,2.7305032925403525,82.51313136890846,61.81066915878484,2177220.4188131527,14975.095899529813,137.24636273284523,163.59477733567002,0.0,525.8321008301987,159.0183589263709,88.26459743836357,0,0.9874450890861818,0.9916296007362618
A1,optimal-head/event/rl,42,51,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25076,139.97445543916993,147.40468343594503,422.5117143038819,550.0,0.5653214228744616,0.43467857712553837,0.45062465783029515,2.564036933642122,80.85212771468213,58.64440640147973,2263919.4085407727,14389.04183588585,129.75168619740555,165.6896804544825,0.0,505.34133099209356,160.77237817962066,90.8880695914142,0,0.989540866209539,0.992429651715768
