arm_key,label,n_runs,success_rate_mean,success_rate_ci_lo,success_rate_ci_hi,mean_delay_ms_mean,mean_delay_ms_ci_lo,mean_delay_ms_ci_hi,p95_delay_ms_mean,p95_delay_ms_ci_lo,p95_delay_ms_ci_hi,deadline_miss_rate_mean,deadline_miss_rate_ci_lo,deadline_miss_rate_ci_hi,sys_j_per_delivered_mean,sys_j_per_delivered_ci_lo,sys_j_per_delivered_ci_hi,jain_delay_mean,jain_delay_ci_lo,jain_delay_ci_hi,queue_ms_mean_mean,queue_ms_mean_ci_lo,queue_ms_mean_ci_hi
A1,optimal-head/event/rl,33,0.5646842788901872,0.5458198332026567,0.5847023626264731,140.5059291890636,138.4146495566655,142.5176048592052,439.05945492655394,423.4833760011277,456.5029513716539,0.4353157211098127,0.4152306487634268,0.453488251487094,156.54644426795707,152.0754950882248,160.88931258322182,0.9896988859102455,0.9889908070290875,0.9903166578227902,81.20574018293053,77.49925623074576,84.98204850302729
B1,static/spotis/rl,33,0.5379361504458583,0.5176965325789507,0.5582129564289181,143.8496656415378,141.69897766710085,145.733909403965,456.19431638915233,441.2017831554321,471.43869220919805,0.46206384955414176,0.4421742860447002,0.4826299292380964,167.89979143758939,162.65574302715493,172.8697872545428,0.9888525363978385,0.9881568703810989,0.9894906133332447,86.07929436450353,82.35748984806126,89.94538048669625
B2,random-move/spotis/rl,33,0.5824295320442558,0.5618596816868804,0.6037559357961256,139.8517983541201,137.61937825954485,141.93722091631852,433.1304528866164,417.918097960394,450.33727654014837,0.41757046795574426,0.3963266826197862,0.4391597695869606,143.2069692937043,138.697206129324,147.44598720739387,0.9897974742146075,0.9890835536834719,0.990444916405721,77.7517219198384,73.79283316149414,81.4898837327981
C1,headless/random,11,0.27695664778096335,0.251312760250595,0.30490636756403106,170.26790572862117,167.86637245024926,172.41201539491195,550.0,550.0,550.0,0.7230433522190366,0.6959467076113076,0.7484240480413213,323.76626516665124,296.16186653215965,350.4620781061819,0.9836615536173622,0.9822629373654607,0.9849939865167167,127.82947833279906,122.48023469789005,132.97365411785307
D1,fodas/edf-heuristic,11,0.33947224651830843,0.29968950151352514,0.38807621120435504,165.92721554638496,162.1866483380273,169.4232224278022,525.5609297579618,496.90649196295624,547.0873561883772,0.6605277534816915,0.6141591122661281,0.7018360365929042,268.21768763314543,239.83669164384872,297.2775326244335,0.9846999451897654,0.9822890247959958,0.9867045914788991,112.88295411465933,104.61815095096571,120.56277372212051
E1,relief/q-learning,11,0.5030883674708062,0.47032793601100437,0.5347210134834637,146.41828562282438,142.90061647118998,149.71210483593188,504.9741020331345,477.8575281590813,529.3745388873216,0.49691163252919374,0.4623632787684585,0.5300837000994978,176.1254228883551,166.01664304386904,186.35146852310987,0.9883566793667675,0.9866702520018725,0.989793158151186,86.33031257504041,79.99351001992504,93.19817495276986
