study_axis,n_fog,n_iot,arrival_rate,arrival_rate_per_fog,episode_seconds,trial,seed,policy,head_failure_s,n_tasks,duration_s,mean_delay_ms,p50_delay_ms,p95_delay_ms,p99_delay_ms,success_rate,deadline_miss_rate,mean_control_delay_ms,mean_selector_delay_ms,mean_handover_delay_ms,control_energy_mj_per_task,nonprop_energy_j_per_delivered_task,whole_swarm_energy_j,head_changes,head_changes_per_1000_tasks,mean_head_tenure_ticks,selector_run_pct,mean_selector_runtime_us,mean_stage1_ms_per_tick,stage1_cpu_share_pct,mean_head_soc_pct,mean_head_iot_distance_m,mean_head_fog_distance_m,mean_head_workload_cycles,mean_head_control_service_ms,kl_gate_pct,tenure_block_pct,switch_cost_block_pct,head_recovery_ticks,tasks_dropped_in_gap,delay_spike_ms,control_jobs_lost,decision_power_0_pct,decision_power_1_pct,decision_power_2_pct,decision_power_3_pct,decision_power_4_pct,decision_power_5_pct
fog_size,10,100,90.0,9.0,10.0,0,42,spotis,,954,10.0,128.05482649819402,96.63035745697135,396.551460888349,550.0,0.7316561844863732,0.26834381551362685,0.0,0.4823899371069182,0.0,6.047767845911716,1.0443710588300776,78920.79532694229,0.0,0.0,100.0,4.9504950495049505,60.76009900990098,0.06076009900990098,0.06076009900990099,75.46614233387515,959.9361366570866,1117.8204585879714,299039383.5886457,0.6569023457696769,95.04950495049505,0.0,0.0,nan,0,nan,0,10.537012735899504,23.435525653292657,7.154695352926402,30.679177338545305,19.325580567163744,8.8680083521724
fog_size,10,100,90.0,9.0,10.0,0,42,fu_serve,,954,10.0,130.2079610404629,101.22918732907316,429.1808303096801,550.0,0.7232704402515723,0.2767295597484277,0.0,0.9446986081409948,0.0,11.944008298762641,1.0456353419211728,78913.31271380451,0.0,0.0,100.0,0.0,65.5,0.0655,0.0655,74.44775399556168,1048.173519766488,1145.0105940429892,63841863.400670625,1.3372767935974286,0.0,0.0,0.0,nan,0,nan,0,nan,nan,nan,nan,nan,nan
fog_size,10,100,90.0,9.0,10.0,0,42,2dp_fhs,,954,10.0,137.44923522352605,116.91512507885315,426.8823868438512,550.0,0.6645702306079665,0.3354297693920335,0.0,0.804871216006818,0.0,29.944766189474894,1.1091602940127026,78895.03195428297,73.0,76.51991614255765,1.3513513513513513,0.0,369.69999999999976,0.36969999999999975,0.36969999999999975,64.66249289063155,1163.536723001347,1281.7871476058885,174643000.691917,1.477945051406546,0.0,0.0,0.0,nan,0,nan,0,nan,nan,nan,nan,nan,nan
fog_size,10,100,90.0,9.0,10.0,0,42,3d_pos,,954,10.0,130.33248306892182,101.96941242666199,404.87108083819373,550.0,0.7159329140461216,0.2840670859538784,0.0,0.6348190550278766,0.0,12.481496629510536,1.0533097528538324,78911.23488907807,15.0,15.723270440251572,6.25,0.0,547.3000000000003,0.5473000000000003,0.5473000000000003,84.58713757249569,1564.8183973336907,1661.9941059419382,165806083.0355342,1.3507353791609773,0.0,0.0,0.0,nan,0,nan,0,nan,nan,nan,nan,nan,nan
fog_size,20,200,180.0,9.0,10.0,0,42,spotis,,1843,10.0,123.40509068300955,91.35322389188971,380.0501524761435,550.0,0.7797069994574064,0.2202930005425936,0.0,0.5476367019847738,0.0,6.343575173013655,1.0293532194070274,158315.0458369535,0.0,0.0,100.0,2.9702970297029703,64.43825742574255,0.06443825742574255,0.06443825742574255,65.41712298191923,1677.7631276864588,1716.6651327310753,243651128.88598365,0.7187581623855831,97.02970297029702,0.0,1.9801980198019802,nan,0,nan,0,10.310918761029972,21.809897172712926,7.291002389601347,24.471931747971087,27.413861841625643,8.702388087059015
fog_size,20,200,180.0,9.0,10.0,0,42,fu_serve,,1843,10.0,124.28980675985206,94.5021671491304,359.65280954233066,550.0,0.769397721106891,0.23060227889310903,0.0,1.0180703726756424,0.0,11.914662789440852,1.0375520945113859,158307.11413068275,0.0,0.0,100.0,0.0,199.59999999999988,0.1995999999999999,0.19959999999999992,86.76518923040746,1062.5017082192792,916.9097268367549,98046840.6893293,1.620006516968162,0.0,0.0,0.0,nan,0,nan,0,nan,nan,nan,nan,nan,nan
fog_size,20,200,180.0,9.0,10.0,0,42,2dp_fhs,,1843,10.0,133.38428771920888,108.23781764474472,397.2931415250187,550.0,0.7102550189907759,0.2897449810092241,0.0,0.8917529801660423,0.0,22.62307423947819,1.132571821164891,158318.40177457046,81.0,43.95008138903961,1.2195121951219512,0.0,1295.8,1.2958,1.2958,75.22839927641658,1129.7617712545568,1002.8782853610646,202309059.5811983,2.7963044698990815,0.0,0.0,0.0,nan,0,nan,0,nan,nan,nan,nan,nan,nan
fog_size,20,200,180.0,9.0,10.0,0,42,3d_pos,,1843,10.0,128.5617446217377,100.43529395865636,398.73474148917853,550.0,0.7433532284319045,0.25664677156809546,0.0,0.6156406441359625,0.0,13.317635155277372,1.0710294348322738,158303.17558638583,37.0,20.075963103635377,2.6315789473684212,0.0,1972.7999999999995,1.9727999999999994,1.9727999999999994,55.72462760341295,1079.6077377124152,914.9380250986826,243268212.47611913,2.5161885295467026,0.0,0.0,0.0,nan,0,nan,0,nan,nan,nan,nan,nan,nan
fog_size,40,400,360.0,9.0,10.0,0,42,spotis,,3598,10.0,125.65704480778709,94.83378810952036,377.14710695442824,550.0,0.7846025569760978,0.21539744302390218,0.0,0.546136742634797,0.0,6.015371919121502,1.107654562556919,315960.64048490394,0.0,0.0,100.0,2.9702970297029703,73.74378217821783,0.07374378217821782,0.07374378217821782,93.61300110167062,2255.2855050871467,2155.509466974344,563629843.5121751,0.745611192633591,97.02970297029702,0.0,1.9801980198019802,nan,0,nan,0,13.163292511426427,20.87670321143461,7.664448108360386,15.271124563315924,31.96161367848741,11.062817926975235
fog_size,40,400,360.0,9.0,10.0,0,42,fu_serve,,3598,10.0,125.81082290666428,98.01454825749545,371.71570870953576,550.0,0.7701500833796554,0.2298499166203446,0.0,0.9499157056141344,0.0,10.874272272967259,1.1076475070786975,315903.02289692085,3.0,0.8337965536409117,25.0,0.0,692.6999999999998,0.6926999999999999,0.6926999999999999,91.10664655718023,2169.2395607662493,2131.934413900496,99974465.72438592,2.325404676930889,0.0,0.0,0.0,nan,0,nan,0,nan,nan,nan,nan,nan,nan
