study_axis,n_fog,n_iot,arrival_rate,arrival_rate_per_fog,episode_seconds,trial,seed,policy,head_failure_s,n_tasks,duration_s,mean_delay_ms,p50_delay_ms,p95_delay_ms,p99_delay_ms,success_rate,deadline_miss_rate,mean_control_delay_ms,mean_selector_delay_ms,mean_handover_delay_ms,control_energy_mj_per_task,nonprop_energy_j_per_delivered_task,whole_swarm_energy_j,head_changes,head_changes_per_1000_tasks,mean_head_tenure_ticks,selector_run_pct,mean_selector_runtime_us,mean_stage1_ms_per_tick,stage1_cpu_share_pct,mean_head_soc_pct,mean_head_iot_distance_m,mean_head_fog_distance_m,mean_head_workload_cycles,mean_head_control_service_ms,kl_gate_pct,tenure_block_pct,switch_cost_block_pct,head_recovery_ticks,tasks_dropped_in_gap,delay_spike_ms,control_jobs_lost,decision_power_0_pct,decision_power_1_pct,decision_power_2_pct,decision_power_3_pct,decision_power_4_pct,decision_power_5_pct
fog_size,5,50,45.0,9.0,10.0,0,42,spotis,,485,10.0,137.5039858486325,104.0486195387782,413.4756164595963,550.0,0.6412371134020619,0.3587628865979381,0.0,0.40453608247422673,0.0,6.102593814432488,1.023179604706032,39275.15265406938,0.0,0.0,100.0,5.9405940594059405,66.33663366336637,0.06633663366336637,0.06633663366336637,52.19685008540541,1008.1942114799479,1029.8946364953788,267663954.68961057,0.6567128328059995,94.05940594059406,0.0,0.9900990099009901,nan,0,nan,0,8.832685158042484,20.9744605093415,7.121592840243064,39.15770715821404,16.415233012714918,7.498321321444003
fog_size,5,50,45.0,9.0,10.0,0,42,fu_serve,,485,10.0,136.8507784396592,106.04099853618187,470.2904552470147,550.0,0.6329896907216495,0.36701030927835054,0.0,0.8140206185567009,0.0,12.056622680411131,1.0171851888006647,39269.21964996761,0.0,0.0,100.0,0.0,18.40000000000001,0.01840000000000001,0.01840000000000001,60.07076231356921,1130.4731266303206,1165.0418062646738,55314858.28519081,1.2543270444582002,0.0,0.0,0.0,nan,0,nan,0,nan,nan,nan,nan,nan,nan
fog_size,5,50,45.0,9.0,10.0,0,42,2dp_fhs,,485,10.0,146.46487352818278,133.46353544327005,479.7165541078316,550.0,0.5938144329896907,0.4061855670103093,0.0,0.715784091547956,0.0,43.670189636323094,1.159806769902814,39290.96814673782,63.0,129.89690721649484,1.5625,0.0,112.79999999999994,0.11279999999999994,0.11279999999999994,58.79475768959031,1105.5344899861811,1031.2952215083224,135269639.73484084,1.853821912801769,0.0,0.0,0.0,nan,0,nan,0,nan,nan,nan,nan,nan,nan
fog_size,5,50,45.0,9.0,10.0,0,42,3d_pos,,485,10.0,136.66583808862478,103.67895308662823,542.3657857366981,550.0,0.6371134020618556,0.3628865979381444,0.0,0.6234953553117206,0.0,9.452040296249795,0.9946455878054539,39264.289283637685,0.0,0.0,100.0,0.0,159.1,0.1591,0.1591,89.14192129416499,1577.4706246612332,1453.7328848695176,97603376.41313423,1.1049816452923802,0.0,0.0,0.0,nan,0,nan,0,nan,nan,nan,nan,nan,nan
fog_size,10,100,90.0,9.0,10.0,0,42,spotis,,954,10.0,128.05612810511224,96.63035745697135,396.551460888349,550.0,0.7316561844863732,0.26834381551362685,0.0,0.4823899371069182,0.0,6.062437106917796,1.0443907192527135,78920.8090499173,0.0,0.0,100.0,4.9504950495049505,79.41386138613859,0.0794138613861386,0.0794138613861386,75.46613926965482,959.9361366570866,1117.8204585879714,299067735.5236451,0.6708129257696765,95.04950495049505,0.0,0.0,nan,0,nan,0,10.536997889515385,23.435504638876758,7.154685557102713,30.679134835592315,19.325681444785232,8.867995634127603
fog_size,10,100,90.0,9.0,10.0,0,42,fu_serve,,954,10.0,130.20720456777653,101.22918732907316,429.1808303096801,550.0,0.7232704402515723,0.2767295597484277,0.0,0.9446986081409948,0.0,11.924707260129638,1.0456086561373237,78913.29430061365,0.0,0.0,100.0,0.0,53.0,0.053,0.053,74.44775959044598,1048.173519766488,1145.0105940429892,63835394.650670655,1.318772307884417,0.0,0.0,0.0,nan,0,nan,0,nan,nan,nan,nan,nan,nan
fog_size,10,100,90.0,9.0,10.0,0,42,2dp_fhs,,954,10.0,137.4831395809937,110.98891686318967,436.43723931341106,550.0,0.6740041928721174,0.32599580712788256,0.0,0.7630139200114546,0.0,30.130048085907646,1.1077392441329152,78904.10066185637,76.0,79.66457023060796,1.2987012987012987,0.0,322.09999999999985,0.32209999999999983,0.32209999999999983,68.33751352728274,1186.2946265463056,1309.5503910126768,174475300.20154104,1.3382161463410365,0.0,0.0,0.0,nan,0,nan,0,nan,nan,nan,nan,nan,nan
fog_size,10,100,90.0,9.0,10.0,0,42,3d_pos,,954,10.0,130.34200162426322,102.04195692776364,404.87108083819373,550.0,0.7159329140461216,0.2840670859538784,0.0,0.6348190550278766,0.0,12.426553497760924,1.0535548326954594,78911.40227860991,15.0,15.723270440251572,6.25,0.0,493.90000000000003,0.49390000000000006,0.49390000000000006,84.58722296652113,1564.8183973336907,1661.9941059419382,163501655.2150314,1.298170122183126,0.0,0.0,0.0,nan,0,nan,0,nan,nan,nan,nan,nan,nan
fog_size,15,150,135.0,9.0,10.0,0,42,spotis,,1402,10.0,123.41452609314149,91.11989204434724,390.86948440913613,550.0,0.7860199714693296,0.21398002853067044,0.0,0.5199714693295292,0.0,6.049153352353513,1.0041012218120486,117988.77845947367,0.0,0.0,100.0,2.9702970297029703,91.88019801980198,0.09188019801980198,0.09188019801980198,95.51950854237343,2258.516767312077,2358.3568928138043,225173862.4916047,0.6798226616829401,97.02970297029702,0.0,0.0,nan,0,nan,0,11.725022789008328,21.842302267407263,6.867221262108687,30.51313169629272,19.28545871003877,9.766863275144221
fog_size,15,150,135.0,9.0,10.0,0,42,fu_serve,,1402,10.0,123.55312578255443,91.07116460060004,389.53702844962106,550.0,0.7867332382310984,0.21326676176890158,0.0,0.8338778144825878,0.0,9.757210520570291,0.99938337220719,117984.57877258131,0.0,0.0,100.0,0.0,101.60000000000001,0.10160000000000001,0.10160000000000002,65.03663315779215,2415.589552659696,2425.552023360996,114976772.65515327,1.1320913311368417,0.0,0.0,0.0,nan,0,nan,0,nan,nan,nan,nan,nan,nan
